"name","expression"
"rel_volume","0-($volume/(Mean($volume,20)+1e-12))"
"ret_1d","$close/Ref($close,1)-1"
"ret_3d","$close/Ref($close,3)-1"
"return_kurt_20","0-(Mean(Power($close/Ref($close,1)-1-Mean($close/Ref($close,1)-1,20),4),20)/Power(Std($close/Ref($close,1)-1,20)+1e-12,4)-3)"
"return_skew_20","0-(Mean(Power($close/Ref($close,1)-1-Mean($close/Ref($close,1)-1,20),3),20)/Power(Std($close/Ref($close,1)-1,20)+1e-12,3))"
"roc_14","$close/Ref($close,14)-1"
"rsi_14","0-(100-100/(1+Mean(If($close>Ref($close,1),$close-Ref($close,1),0),14)/(Mean(If($close<Ref($close,1),Ref($close,1)-$close,0),14)+1e-12)))"
"rsi_21","0-(100-100/(1+Mean(If($close>Ref($close,1),$close-Ref($close,1),0),21)/(Mean(If($close<Ref($close,1),Ref($close,1)-$close,0),21)+1e-12)))"
"rsi_7","0-(100-100/(1+Mean(If($close>Ref($close,1),$close-Ref($close,1),0),7)/(Mean(If($close<Ref($close,1),Ref($close,1)-$close,0),7)+1e-12)))"
"rsi_reversion_14","100-(100-100/(1+Mean(If($close>Ref($close,1),$close-Ref($close,1),0),14)/(Mean(If($close<Ref($close,1),Ref($close,1)-$close,0),14)+1e-12)))"
"skip_1m_12m","Ref($close,21)/Ref($close,252)-1"
"sma_20","Mean($close,20)"
"smi_14","(2*$close-Max($high,14)-Min($low,14))/(Max($high,14)-Min($low,14))"
"std_20","0-(Std($close,20))"
"std_5","0-(Std($close/Ref($close,1)-1,5)*15.874507866)"
"std_60","0-(Std($close/Ref($close,1)-1,60)*15.874507866)"
"stochastic_14","-100*($close-Min($low,14))/(Max($high,14)-Min($low,14))"
"tema_diff_10","3*EMA($close,10)-3*EMA(EMA($close,10),10)+EMA(EMA(EMA($close,10),10),10)-$close"
"trading_volume","0-$volume"
"trix_15","0-EMA(EMA(EMA($close,15),15),15)/Ref(EMA(EMA(EMA($close,15),15),15),1)-1"
"ulcer_14","0-(Power(Mean(((Max($close,14)-$close)/Max($close,14))*((Max($close,14)-$close)/Max($close,14)),14),0.5))"
"updown_ratio_20","0-(Std(If($close>Ref($close,1),$close/Ref($close,1)-1,0),20)/(Std(If($close<Ref($close,1),$close/Ref($close,1)-1,0),20)+1e-12))"
"upper_shadow_20","0-(Mean(($high-If($close>$open,$close,$open))/($high-$low+1e-12),20))"
"vol_of_vol_20","0-(Std(Std($close/Ref($close,1)-1,5),20))"
"vol_ratio_5_20","0-(Mean($volume,5)/(Mean($volume,20)+1e-12))"
"vroc_14","0-($volume-Ref($volume,14))/Ref($volume,14)"
"williams_r_14","-100*(Max($high,14)-$close)/(Max($high,14)-Min($low,14))"
"yang_zhang","0-(Power(Var(Log($close/$open),20)+0.5*Var(Log($high/$open)-Log($low/$open),20)+0.25*Var(Log($close/Ref($open,1)),20),0.5))"
"zscore_20","(Mean($close,20)-$close)/Std($close,20)"
"zscore_5","(Mean($close,5)-$close)/(Std($close,5)+1e-12)"
"zscore_60","(Mean($close,60)-$close)/(Std($close,60)+1e-12)"
"zscore_range_20","0-((($high-$low)-Mean($high-$low,20))/(Std($high-$low,20)+1e-12))"
