No.,expression,reason
20,"(Sign(Min((1 / (((Sign(Mean(Ref((0.5 - $close), 10), 30)) * Log(1 + Abs(Mean(Ref((0.5 - $close), 10), 30)))) / Ref((Sign(Mean(Ref((0.5 - $close), 10), 30)) * Log(1 + Abs(Mean(Ref((0.5 - $close), 10), 30)))), 50)) / 0.5)), 10)) * Log(1 + Abs(Min((1 / (((Sign(Mean(Ref((0.5 - $close), 10), 30)) * Log(1 + Abs(Mean(Ref((0.5 - $close), 10), 30)))) / Ref((Sign(Mean(Ref((0.5 - $close), 10), 30)) * Log(1 + Abs(Mean(Ref((0.5 - $close), 10), 30)))), 50)) / 0.5)), 10)))",基于行为金融学的锚定效应理论，投资者对特定价格水平（如0.5）存在心理锚点。价格偏离该锚点后，投资者会产生过度反应或反应不足，形成可预测的价格回归或趋势延续模式。该因子通过多时间窗口的价格偏离度计算，捕捉这种系统性行为偏差带来的超额收益机会。
21,"(Std(Sum((1/((5.0-Power(($close+30.0),(1.0+($low/5.0))))+30.0)),40),5)/30.0",该因子通过价格的非线性变换和波动率计算，捕捉市场情绪变化和价格反转信号。当价格出现异常波动时，因子值会显著变化，反映投资者情绪从过度乐观或悲观向均值回归的过程，具有较好的反转预测能力。
22,"Mean((Sign(EMA((1/(1.0/Cov($open,(10.0*($volume-1.0)),10))),10))*Log(1+Abs(EMA((1/(1.0/Cov($open,(10.0*($volume-1.0)),10))),10)))),10)",该因子捕捉开盘价与成交量调整项之间的协方差非线性关系。开盘价与成交量的协方差反映市场对开盘价格的认可程度，EMA平滑捕捉中期趋势，Sign和Log变换增强非线性特征，Mean平滑提供稳定性，能有效识别价格与成交量协同变化中的alpha机会。
23,"(Power(0.5, (Power($high, Power($high, $open)) + 0.01)) / 5.0)",该因子通过高开价格的多层幂运算捕捉价格波动的非线性特征。幂函数能够放大极端价格变动，识别动量加速或减速的变化模式。0.5的幂运算起到平滑和标准化作用，常数项确保数值稳定性。这种非线性变换能够揭示传统线性因子难以捕捉的市场微观结构特征，对短期价格反转或动量延续具有预测能力。
24,"Ref(((Sign((1 / ((Sign(((Sign((1 / ($vwap * (0.5 * ($vwap / -2.0))))) * Log(1 + Abs((1 / ($vwap * (0.5 * ($vwap / -2.0))))))) + 0.5)) * Log(1 + Abs(((Sign((1 / ($vwap * (0.5 * ($vwap / -2.0))))) * Log(1 + Abs((1 / ($vwap * (0.5 * ($vwap / -2.0))))))) + 0.5)))) - -0.01))) * Log(1 + Abs((1 / ((Sign(((Sign((1 / ($vwap * (0.5 * ($vwap / -2.0))))) * Log(1 + Abs((1 / ($vwap * (0.5 * ($vwap / -2.0))))))) + 0.5)) * Log(1 + Abs(((Sign((1 / ($vwap * (0.5 * ($vwap / -2.0))))) * Log(1 + Abs((1 / ($vwap * (0.5 * ($vwap / -2.0))))))) + 0.5)))) - -0.01))))) / 2.0), 40)",该因子通过对VWAP价格进行多层非线性变换，捕捉价格序列中的复杂模式和细微异常。这种深度变换能够识别传统线性因子忽略的市场特征，可能在特定市场环境下提供额外的预测能力。因子保持40期滞后，旨在捕捉价格模式的持续性特征，为量化策略提供独特的alpha来源。
25,"(((Sign((((Sign(Std(Power((1 / (Sign((1 / ($open - 2.0))) * Log(1 + Abs((1 / ($open - 2.0)))))), 30.0), 50)) * Log(1 + Abs(Std(Power((1 / (Sign((1 / ($open - 2.0))) * Log(1 + Abs((1 / ($open - 2.0)))))), 30.0), 50)))) - -30.0) + -5.0)) * Log(1 + Abs((((Sign(Std(Power((1 / (Sign((1 / ($open - 2.0))) * Log(1 + Abs((1 / ($open - 2.0)))))), 30.0), 50)) * Log(1 + Abs(Std(Power((1 / (Sign((1 / ($open - 2.0))) * Log(1 + Abs((1 / ($open - 2.0)))))), 30.0), 50)))) - -30.0) + -5.0)))) * -0.5) * 1.0)",该因子通过价格倒数的对数变换和波动率计算，捕捉开盘价的非线性波动特征。价格倒数的变换能够放大微小价格变动的信号，波动率计算识别市场不确定性状态，符号函数提取方向信息。多层嵌套结构能够捕捉复杂的市场动态，理论上在波动率异常时具有预测能力，适用于识别价格反转和波动率聚集现象。
26,($low/$volume)/(1 + 70*($low/$volume)),该因子通过非线性变换捕捉低价位成交量比率信息。当股票在相对低位出现较大成交量时，可能反映资金关注或技术支撑，具有反转效应。因子通过倒数运算放大低比值区域的敏感性，更适合识别价格底部区域的异常成交量信号，在均值回归策略中具有预测价值。
27,"Ref((Ref((Sign(Med(((Ref((1/(2.0*(1/$close))),30)/Ref(Ref((1/(2.0*(1/$close))),30),10))+30.0),50))*Log(1+Abs(Med(((Ref((1/(2.0*(1/$close))),30)/Ref(Ref((1/(2.0*(1/$close))),30),10))+30.0),50)))),5)-5.0),5)",该因子捕捉价格倒数的非线性变换特征，通过多层时间窗口嵌套和中位数计算提供稳健的价格动量信号。基于行为金融学的价格过度反应理论，对数变换处理极端波动，符号函数识别方向，复合结构能够同时捕捉短期反转和中期动量效应，在市场情绪极端时提供有效的择时信号。
28,"$volume * Sign(-1.01 - EMA(Sum(WMA($low - 5.0, 20), 1), 30)) * Log(1 + Abs(-1.01 - EMA(Sum(WMA($low - 5.0, 20), 1), 30)))",该因子结合价格在低位区域的动量特征与成交量信号，通过双重平滑处理(WMA+EMA)捕捉持续性价格偏离，Sign函数提供方向信号，Log函数增强异常值的区分度。理论基础在于价格在极端低位时，异常的成交量配合特定的动量模式往往预示着价格反转或趋势加速。
29,"Ref((1 / (Sign(Min((Sign(((Sign(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)) * Log(1 + Abs(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)))) / Ref((Sign(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)) * Log(1 + Abs(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)))), 20))) * Log(1 + Abs(((Sign(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)) * Log(1 + Abs(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)))) / Ref((Sign(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)) * Log(1 + Abs(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)))), 20))))), 20)) * Log(1 + Abs(Min((Sign(((Sign(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)) * Log(1 + Abs(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)))) / Ref((Sign(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)) * Log(1 + Abs(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)))), 20))) * Log(1 + Abs(((Sign(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)) * Log(1 + Abs(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)))) / Ref((Sign(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)) * Log(1 + Abs(((((1 / (5.0 * $close)) + 1.0) / -2.0) + 0.01)))), 20))))), 20))))), 40)",该因子通过复杂的数学变换捕捉价格相对位置的变化特征，Sign函数处理方向信号，Log函数压缩极端值，Min函数识别关键转折点。结合20日和40日的滞后比较，能够有效识别价格动量的持续性和反转模式，在动量策略和反转策略中均有应用价值，理论基础在于市场对价格相对位置变化的过度反应或反应不足。
30,"Mad(EMA((Sign((Sign((($close-1)*10)) * Log(1+Abs((($close-1)*10)))) * Log(1+Abs((Sign((($close-1)*10)) * Log(1+Abs((($close-1)*10)))))), 50), 40)",该因子通过双重对数变换增强价格变化的非线性特征，MAD计算提供稳健的波动率估计。理论基础在于市场过度反应时会产生异常波动，而经过压缩变换的MAD指标能更好识别这种状态，在均值回归策略中具有预测价值，特别是在市场波动率突变时能提供稳定的信号。
